$081,$06,$081,$06,$081,$06,$081,$06,$081,$06,$081,$06,$081,$06,$081,$06,$081,$06,$081,$06,$081,$06,$081,$06,$081,$06,$081,$06,$081,$06,$081,$06,$081,$06,$081,$06,$081,$06,$081,$06
$082,$06,$19A,$07,$1DE,$07,$1F0,$07,$1CA,$07,$1DE,$07,$1BA,$07,$082,$06,$082,$06,$082,$06,$082,$06,$082,$06,$082,$06,$082,$06,$082,$06,$082,$06,$082,$06,$082,$06,$082,$06,$082,$06
$083,$06,$083,$06,$083,$06,$083,$06,$083,$06,$083,$06,$083,$06,$083,$06,$083,$06,$083,$06,$083,$06,$083,$06,$083,$06,$083,$06,$083,$06,$083,$06,$083,$06,$083,$06,$083,$06,$083,$06
$04D,$00,$04E,$00,$04F,$00,$088,$00,$086,$00,$089,$00,$08A,$00,$08B,$00,$080,$00,$08C,$00,$08D,$00,$080,$20,$08B,$20,$044,$00,$045,$00,$046,$00,$047,$00,$048,$00,$049,$00,$04A,$00
$093,$00,$02F,$03,$030,$03,$030,$03,$030,$03,$030,$03,$030,$03,$030,$03,$030,$03,$030,$03,$030,$03,$030,$03,$030,$03,$031,$03,$097,$20,$094,$20,$096,$20,$095,$20,$094,$20,$093,$20
$0A1,$00,$03D,$03,$0C8,$01,$0C9,$01,$120,$07,$120,$07,$120,$07,$120,$07,$120,$07,$120,$07,$120,$07,$120,$07,$120,$07,$03F,$03,$0A6,$20,$0A5,$20,$0A4,$20,$0A3,$20,$0A2,$20,$0A1,$20
$0B1,$00,$03D,$03,$0D2,$01,$0D3,$01,$19A,$07,$1DE,$07,$1F0,$07,$1CA,$07,$1DE,$07,$1BA,$07,$120,$07,$120,$07,$120,$07,$03F,$03,$0B6,$20,$0B5,$20,$0B4,$20,$0B3,$20,$0B2,$20,$0B1,$20
$0B1,$00,$03D,$03,$03E,$03,$03E,$03,$03E,$03,$03E,$03,$03E,$03,$03E,$03,$03E,$03,$03E,$03,$03E,$03,$03E,$03,$03E,$03,$03F,$03,$0C2,$20,$0B5,$20,$0C1,$20,$0C0,$20,$0B2,$20,$0B1,$20
$0CC,$00,$03D,$03,$120,$07,$120,$07,$1EA,$07,$1DE,$07,$198,$07,$1DE,$07,$1A6,$07,$1BD,$07,$1C3,$07,$1D9,$07,$120,$07,$03F,$03,$0CE,$20,$0B5,$20,$0CD,$20,$0C0,$20,$0B2,$20,$0CC,$20
$080,$00,$03D,$03,$120,$07,$120,$07,$19B,$07,$1F9,$07,$1ED,$07,$1DE,$07,$190,$07,$19C,$07,$1DE,$07,$120,$07,$120,$07,$03F,$03,$0DA,$20,$0D9,$20,$0D8,$20,$0D7,$20,$0D6,$20,$080,$20
$080,$00,$03D,$03,$120,$07,$120,$07,$1D4,$07,$1D2,$07,$1D9,$07,$120,$07,$120,$07,$120,$07,$120,$07,$120,$07,$120,$07,$03F,$03,$0E5,$00,$0E7,$20,$0FA,$02,$0FB,$02,$0FC,$02,$080,$20
$0F0,$00,$041,$03,$042,$03,$042,$03,$042,$03,$042,$03,$042,$03,$042,$03,$042,$03,$042,$03,$042,$03,$042,$03,$042,$03,$043,$03,$0F5,$20,$0F4,$20,$006,$02,$007,$02,$008,$02,$0F0,$20
$0FD,$00,$0FE,$00,$0FD,$00,$0FF,$00,$000,$00,$001,$00,$002,$00,$003,$00,$001,$20,$004,$00,$005,$00,$001,$00,$003,$20,$002,$20,$001,$20,$000,$20,$014,$02,$015,$02,$016,$02,$0FD,$20
$009,$00,$00A,$00,$00B,$00,$00C,$00,$00D,$00,$00E,$00,$00F,$00,$010,$00,$011,$00,$012,$00,$013,$00,$011,$20,$010,$20,$00F,$20,$00E,$20,$00D,$20,$021,$02,$022,$02,$023,$02,$009,$20
$02F,$03,$030,$03,$030,$03,$030,$03,$030,$03,$030,$03,$030,$03,$030,$03,$030,$03,$030,$03,$030,$03,$030,$03,$030,$03,$030,$03,$030,$03,$030,$03,$030,$03,$030,$03,$030,$03,$031,$03
$03D,$03,$120,$07,$120,$07,$120,$07,$120,$07,$120,$07,$120,$07,$120,$07,$120,$07,$120,$07,$120,$07,$120,$07,$120,$07,$120,$07,$120,$07,$120,$07,$120,$07,$120,$07,$120,$07,$03F,$03
$03D,$03,$120,$07,$120,$07,$120,$07,$120,$07,$120,$07,$120,$07,$120,$07,$120,$07,$120,$07,$120,$07,$120,$07,$120,$07,$120,$07,$120,$07,$120,$07,$120,$07,$120,$07,$120,$07,$03F,$03
$041,$03,$042,$03,$042,$03,$042,$03,$042,$03,$042,$03,$042,$03,$042,$03,$042,$03,$042,$03,$042,$03,$042,$03,$042,$03,$042,$03,$042,$03,$042,$03,$042,$03,$042,$03,$042,$03,$043,$03
