English,Hiragana,Hiragana (Fixed),Romaji,Category,Notes
Strike,た゛け゛き,だげき,Dageki,Type,
Blade,さ゛んけ゛き,ざんげき,Zangeki,Type,
Fire,ほのお,ほのお,Honoo,Type,
Water,みす゛,みず,Mizu,Type,
Wind,かせ゛,かぜ,Kaze,Type,
Electric,て゛んき,でんき,Denki,Type,
Ground,し゛しん,じしん,Jimen,Type,Literally “earthquake”. Used in some instances instead of し?めん.
Ground,し゛めん,じめん,Jishin,Type,
Special,とくしゅ,とくしゅ,Tokushu,Type,
Shady Figure,くろいかけ゛,くろいかげ,Kuroikage,NPC,"Literally translates into “black shadow”. Initially went with Shadowy Figure, but changed to Shady Figure due to space constraints."
,コックリ,コックリ,Kokkuri,NPC,
,ハ゛ンハ゛ン,バンバン,Banban,NPC,Could come from a onomatopoeia (bang-bang?)
,ヤケ゛,ヤゲ,Yage,NPC,
,サッキィ,サッキィ,Sakkii,NPC,
,カツ,カツ,Katsu,NPC,
,シミシミ,シミシミ,Shimishimi,NPC,
,コッコ,コッコ,Kokko,NPC,
,シ゛ュッヘ゜,ジュッペ,Juppe,NPC,
,ウッキィ,ウッキィ,Ukkii,NPC,
,トックリ,トックリ,Tokkuri,NPC,
,ツームラ,ツームラ,Tsuumura,NPC,
,ヤノッチ,ヤノッチ,Yanochi,NPC,
,テ゛ク,デク,Deku,NPC,
,スキ゛スキ゛,スギスギ,Sugisugi,NPC,
,ハ゜ックリ,パックリ,Pakkuri,NPC,
,クーチャ,クーチャ,Kuucha,NPC,
,キムチ,キムチ,Kimuchi,NPC,
,イカリン,イカリン,Ikarin,NPC,
,チャコ,チャコ,Chako,NPC,
,トコ,トコ,Toko,NPC,
,ウエニョン,ウエニョン,Uenyon,NPC,
,オーチ,オーチ,Oochi,NPC,"Her team consists of a single OP, so her name could be derived from that."
,チクリ,チクリ,Chikuri,NPC,
,ノンチ,ノンチ,Nonchi,NPC,
,サオリン,サオリン,Saorin,NPC,
,アーチャン,アーチャン,Aachan,NPC,
,カクエー,カクエー,Kakuee,NPC,
KK,KK,KK,KK,NPC,
Jail Warden,ロウヤヌシ,ロウヤヌシ,Rouya Nushi,NPC,
Clerk,てんいん,てんいん,Tennin,NPC,
Manager,てんちょう,てんちょう,Tenchou,NPC,
Kamisen,カミセンふ゛ちょう,カミセンぶちょう,Kamisen-buchou,NPC,Lacks the “chief” title in english due to size constraints.
Subordinate,かけ゛のふ゛か,かげのぶか,Kage-no-buka,NPC,Lacks the “shady” title due to size constraints.
Sobaka,サハ゛ーカ,サバーカ,Sabaaka,NPC,Could be russian for dog (собака)
Roche,ロッシュ,ロッシュ,Rosshu,NPC,
,ヘ゛ンケー,ベンケー,Benkee,NPC,
Velove,フ゛ラフ゛,ブラブ,Burabu,NPC,Likely comes from ラブラブ (Love-love)
Stormy,ストーミー,ストーミー,Sutoomii,NPC,
,アルーミア,アルーミア,Aruumia,NPC,
Jail Guard,ろうやのは゛んにん,ろうやのばんにん,Rouya-no-bannin,NPC,
Garden,カ゛ルテ゛ン,ガルデン,Garuden,NPC,Could be Galden
Guard,カ゛ート゛マン,ガードマン,Gaadoman,NPC,"Should be “Security Guard”, but it would be too long."
Civilian,まちのひと,まちのひと,Machi no Hito,NPC,Literally “townsfolk”
Weldehyde A,ウェルテ゛ハイト゛A,ウェルデハイドA,Weruhaido A,NPC,
Weldehyde B,ウェルテ゛ハイト゛B,ウェルデハイトB,Weruhaido B,NPC,
Weldehyde C,ウェルテ゛ハイト゛C,ウェルデハイトC,Weruhaido C,NPC,
Hacker,ハッカー,ハッカー,Hakka,NPC,
Shield,シールト゛,シールド,Shiirudo,NPC,
