Label,Japanese,English,Notes
STR_95_1F,から,From,
STR_95_41,シーンは゛んこ゛うか゛オーハ゛ーしている,The scene number is too high.,"(Error-handling routine. Scene numbers must be lower than $3A34, which is file $95)"
,,,
STR_C5_146,あいてから\おうとうか゛ありません,あいてから\おうとうか゛ありません,(Link communication messages)
STR_C5_16C,しゅうりょうしても\よろしいて゛すか?,しゅうりょうしても\よろしいて゛すか?,
STR_C5_1C5,   ・* つうしんまち *・,   ・* つうしんまち *・,
STR_C5_1E8,   *・ つうしんまち ・*,   *・ つうしんまち ・*,
STR_C6_146,あいてから\おうとうか゛ありません,あいてから\おうとうか゛ありません,
STR_C6_16C,しゅうりょうしても\よろしいて゛すか?,しゅうりょうしても\よろしいて゛すか?,
STR_C6_1C5,   ・* つうしんまち *・,   ・* つうしんまち *・,
STR_C6_1E8,   *・ つうしんまち ・*,   *・ つうしんまち ・*,
STR_C7_146,あいてから\おうとうか゛ありません,あいてから\おうとうか゛ありません,
STR_C7_16C,しゅうりょうしても\よろしいて゛すか?,しゅうりょうしても\よろしいて゛すか?,
STR_C7_1C5,   ・* つうしんまち *・,   ・* つうしんまち *・,
STR_C7_1E8,   *・ つうしんまち ・*,   *・ つうしんまち ・*,
,,,
STR_C9_A0,2001.8.26,2001.8.26,(Debug menu)
STR_C9_C3,ロート゛,Load,
STR_C9_CA,さいしょから,New Game,
STR_C9_D3,ハ゛トル,Battle,
STR_C9_DA,つうしんハ゛トル,Link Battle,
STR_C9_E5,マッフ゜チェック,Map Check,
STR_C9_F0,フリーウォーク,Free Walk,
STR_C9_FA,メニュー,Menu,
STR_C9_101,カットイン,Cut-in,
STR_C9_109,ハ゛ク゛,Bug,
STR_C9_110,アクセスホ゜イント,Access Point,
STR_C9_11C,みせ,Shop,
STR_C9_121,スタッフ,Staff,
STR_C9_128,ハ゛ク゛センサー,Bug Sensor,
STR_C9_133,つうしん,Link,
STR_C9_13A,おふ゜しょん,Options,
STR_C9_3FE,\サウント゛をせんたくしてくれ!,\Choose a Sound!,(unused/inaccessible?)
STR_C9_414,\ ,\ ,
STR_C9_41C,\   ,\   ,
STR_C9_4DD,BGM No.,BGM No.,
STR_C9_51F,SE  No.,SE  No.,
STR_C9_775,NO.,NO.,
STR_C9_791,「,「,
