Label,Japanese,English,Notes
NAME_8_30,た゛いち,Daichi,
NAME_8_70,はっかー1,はっかー1,
NAME_8_B0,くろいかけ゛,くろいかけ゛,
NAME_8_F0,コックリ,コックリ,
NAME_8_130,ハ゛ンハ゛ン,ハ゛ンハ゛ン,
NAME_8_170,ヤケ゛,ヤケ゛,
NAME_8_1B0,サッキィ,サッキィ,
NAME_8_1F0,カツ,カツ,
NAME_8_230,シミシミ,シミシミ,
NAME_8_270,コッコ,コッコ,
NAME_8_2B0,シ゛ュッヘ゜,シ゛ュッヘ゜,
NAME_8_2F0,ウッキィ,ウッキィ,
NAME_8_330,トックリ,トックリ,
NAME_8_370,ツームラ,ツームラ,
NAME_8_3B0,ヤノッチ,ヤノッチ,
NAME_8_3F0,テ゛ク,テ゛ク,
NAME_8_430,スキ゛スキ゛,スキ゛スキ゛,
NAME_8_470,ハ゜ックリ,ハ゜ックリ,
NAME_8_4B0,クーチャ,クーチャ,
NAME_8_4F0,キムチ,キムチ,
NAME_8_530,イカリン,イカリン,
NAME_8_570,チャコ,チャコ,
NAME_8_5B0,トコ,トコ,
NAME_8_5F0,ウエニョン,ウエニョン,
NAME_8_630,オーチ,オーチ,
NAME_8_670,チクリ,チクリ,
NAME_8_6B0,ノンチ,ノンチ,
NAME_8_6F0,サオリン,サオリン,
NAME_8_730,アーチャン,アーチャン,
NAME_8_770,カクエー,カクエー,
NAME_8_7B0,KK,KK,
NAME_8_7F0,ロウヤヌシ,ロウヤヌシ,
NAME_8_830,てんいん,てんいん,
NAME_8_870,てんちょう,てんちょう,
NAME_8_8B0,カミセンふ゛ちょう,カミセンふ゛ちょう,
NAME_8_8F0,かけ゛のふ゛か,かけ゛のふ゛か,
NAME_8_930,サハ゛ーカ,Sobaka,
NAME_8_970,ロッシュ,Roche,
NAME_8_9B0,ヘ゛ンケー,Benkei,
NAME_8_9F0,フ゛ラフ゛,フ゛ラフ゛,
NAME_8_A30,ストーミー,Stormy,
NAME_8_A70,アルーミア,アルーミア,
NAME_8_AB0,ろうやのは゛んにん,ろうやのは゛んにん,
NAME_8_AF0,カ゛ルテ゛ン,カ゛ルテ゛ン,
NAME_8_B30,カ゛ート゛マン,カ゛ート゛マン,
NAME_8_B70,カ゛ート゛マン,カ゛ート゛マン,
NAME_8_BB0,まちのひと,まちのひと,
NAME_8_BF0,まちのひと,まちのひと,
NAME_8_C30,ウェルテ゛ハイト゛A,ウェルテ゛ハイト゛A,
NAME_8_C70,ウェルテ゛ハイト゛A,ウェルテ゛ハイト゛A,
NAME_8_CB0,ウェルテ゛ハイト゛A,ウェルテ゛ハイト゛A,
NAME_8_CF0,ウェルテ゛ハイト゛A,ウェルテ゛ハイト゛A,
NAME_8_D30,ウェルテ゛ハイト゛A,ウェルテ゛ハイト゛A,
NAME_8_D70,ウェルテ゛ハイト゛B,ウェルテ゛ハイト゛B,
NAME_8_DB0,ウェルテ゛ハイト゛B,ウェルテ゛ハイト゛B,
NAME_8_DF0,ウェルテ゛ハイト゛B,ウェルテ゛ハイト゛B,
NAME_8_E30,ウェルテ゛ハイト゛B,ウェルテ゛ハイト゛B,
NAME_8_E70,ウェルテ゛ハイト゛B,ウェルテ゛ハイト゛B,
NAME_8_EB0,ウェルテ゛ハイト゛C,ウェルテ゛ハイト゛C,
NAME_8_EF0,ウェルテ゛ハイト゛C,ウェルテ゛ハイト゛C,
NAME_8_F30,ウェルテ゛ハイト゛C,ウェルテ゛ハイト゛C,
NAME_8_F70,ウェルテ゛ハイト゛C,ウェルテ゛ハイト゛C,
NAME_8_FB0,ウェルテ゛ハイト゛C,ウェルテ゛ハイト゛C,
NAME_8_FF0,ハッカー,ハッカー,
NAME_8_1030,ハッカー,ハッカー,
NAME_8_1070,シールト゛,シールト゛,
NAME_8_10B0,シールト゛,シールト゛,
NAME_8_10F0,シールト゛,シールト゛,
NAME_8_1130,シールト゛,シールト゛,
NAME_8_1170,シールト゛,シールト゛,
NAME_8_11B0,シールト゛,シールト゛,
NAME_8_11F0,シールト゛,シールト゛,
NAME_8_1230,シールト゛,シールト゛,
NAME_8_1270,シールト゛,シールト゛,
NAME_8_12B0,シールト゛,シールト゛,
NAME_8_12F0,FE,FE,
NAME_8_1330,FE,FE,
NAME_8_1370,FE,FE,
NAME_8_13B0,FE,FE,
NAME_8_13F0,FE,FE,
NAME_8_1430,FE,FE,
NAME_8_1470,FE,FE,
NAME_8_14B0,FE,FE,
NAME_8_14F0,FE,FE,
NAME_8_1530,FE,FE,
NAME_8_1570,FE,FE,
NAME_8_15B0,STING,STING,
NAME_8_15F0,RUGER,RUGER,
NAME_8_1630,JANK,JANK,
NAME_8_1670,STING,STING,
NAME_8_16B0,STING,STING,
NAME_8_16F0,STING,STING,
NAME_8_1730,STING,STING,
NAME_8_1770,STING,STING,
NAME_8_17B0,STING,STING,
NAME_8_17F0,STING,STING,
NAME_8_1830,STING,STING,
NAME_8_1870,STING,STING,
NAME_8_18B0,STING,STING,
NAME_8_18F0,STING,STING,
NAME_8_1930,STING,STING,
NAME_8_1970,FE,FE,
NAME_8_19B0,TAHIRO,TAHIRO,
NAME_8_19F0,TAHIRO,TAHIRO,
NAME_8_1A30,RUGER,RUGER,
NAME_8_1A70,RUGER,RUGER,
NAME_8_1AB0,RUGER,RUGER,
NAME_8_1AF0,RUGER,RUGER,
NAME_8_1B30,RUGER,RUGER,
NAME_8_1B70,RUGER,RUGER,
NAME_8_1BB0,RUGER,RUGER,
NAME_8_1BF0,RUGER,RUGER,
NAME_8_1C30,RUGER,RUGER,
NAME_8_1C70,RUGER,RUGER,
NAME_8_1CB0,TAHIRO,TAHIRO,
NAME_8_1CF0,TAHIRO,TAHIRO,
NAME_8_1D30,TAHIRO,TAHIRO,
NAME_8_1D70,JANK,JANK,
NAME_8_1DB0,JANK,JANK,
NAME_8_1DF0,FE,FE,
NAME_8_1E30,FE,FE,
NAME_8_1E70,FE,FE,
NAME_8_1EB0,FE,FE,
NAME_8_1EF0,FE,FE,
NAME_8_1F30,FE,FE,
NAME_8_1F70,FE,FE,
NAME_8_1FB0,FE,FE,
NAME_8_1FF0,FE,FE,
NAME_8_2030,FE,FE,
NAME_8_2070,FE,FE,
NAME_8_20B0,STING,STING,
NAME_8_20F0,RUGER,RUGER,
NAME_8_2130,RUGER,RUGER,
NAME_8_2170,JANK,JANK,
NAME_8_21B0,STING,STING,
NAME_8_21F0,STING,STING,
NAME_8_2230,STING,STING,
NAME_8_2270,STING,STING,
NAME_8_22B0,STING,STING,
NAME_8_22F0,STING,STING,
NAME_8_2330,STING,STING,
NAME_8_2370,STING,STING,
NAME_8_23B0,STING,STING,
NAME_8_23F0,STING,STING,
NAME_8_2430,STING,STING,
NAME_8_2470,STING,STING,
NAME_8_24B0,FE,FE,
NAME_8_24F0,TAHIRO,TAHIRO,
NAME_8_2530,TAHIRO,TAHIRO,
NAME_8_2570,RUGER,RUGER,
NAME_8_25B0,RUGER,RUGER,
NAME_8_25F0,RUGER,RUGER,
NAME_8_2630,RUGER,RUGER,
NAME_8_2670,RUGER,RUGER,
NAME_8_26B0,RUGER,RUGER,
NAME_8_26F0,RUGER,RUGER,
NAME_8_2730,RUGER,RUGER,
NAME_8_2770,RUGER,RUGER,
NAME_8_27B0,RUGER,RUGER,
NAME_8_27F0,TAHIRO,TAHIRO,
NAME_8_2830,TAHIRO,TAHIRO,
NAME_8_2870,TAHIRO,TAHIRO,
NAME_8_28B0,JANK,JANK,
NAME_8_28F0,JANK,JANK,
NAME_8_2930,TAHIRO,TAHIRO,
NAME_8_2970,TAHIRO,TAHIRO,
NAME_8_29B0,TAHIRO,TAHIRO,
NAME_8_29F0,TAHIRO,TAHIRO,
NAME_8_2A30,TAHIRO,TAHIRO,
NAME_8_2A70,TAHIRO,TAHIRO,
NAME_8_2AB0,TAHIRO,TAHIRO,
NAME_8_2AF0,TAHIRO,TAHIRO,
NAME_8_2B30,TAHIRO,TAHIRO,
NAME_8_2B70,TAHIRO,TAHIRO,
NAME_8_2BB0,TAHIRO,TAHIRO,
NAME_8_2BF0,TAHIRO,TAHIRO,
NAME_8_2C30,TAHIRO,TAHIRO,
NAME_8_2C70,JANK,JANK,
NAME_8_2CB0,JANK,JANK,
NAME_8_2CF0,JANK,JANK,
NAME_8_2D30,JANK,JANK,
NAME_8_2D70,FE,FE,
NAME_8_2DB0,FE,FE,
NAME_8_2DF0,FE,FE,
NAME_8_2E30,FE,FE,
NAME_8_2E70,STING,STING,
NAME_8_2EB0,STING,STING,
NAME_8_2EF0,STING,STING,
NAME_8_2F30,STING,STING,
NAME_8_2F70,RUGER,RUGER,
NAME_8_2FB0,RUGER,RUGER,
NAME_8_2FF0,RUGER,RUGER,
NAME_8_3030,RUGER,RUGER,
NAME_8_3070,TAHIRO,TAHIRO,
NAME_8_30B0,TAHIRO,TAHIRO,
NAME_8_30F0,TAHIRO,TAHIRO,
NAME_8_3130,TAHIRO,TAHIRO,
NAME_8_3170,JANK,JANK,
NAME_8_31B0,JANK,JANK,
NAME_8_31F0,JANK,JANK,
NAME_8_3230,JANK,JANK,
NAME_8_3270,JANK,JANK,
NAME_8_32B0,JANK,JANK,
NAME_8_32F0,JANK,JANK,
NAME_8_3330,JANK,JANK,
NAME_8_3370,JANK,JANK,
NAME_8_33B0,JANK,JANK,
NAME_8_33F0,JANK,JANK,
NAME_8_3430,JANK,JANK,
NAME_8_3470,JANK,JANK,
NAME_8_34B0,JANK,JANK,
NAME_8_34F0,JANK,JANK,
NAME_8_3530,JANK,JANK,
NAME_8_3570,JANK,JANK,
NAME_8_35B0,JANK,JANK,
NAME_8_35F0,JANK,JANK,
NAME_8_3630,JANK,JANK,
NAME_8_3670,JANK,JANK,
NAME_8_36B0,JANK,JANK,
NAME_8_36F0,JANK,JANK,
NAME_8_3730,JANK,JANK,
NAME_8_3770,JANK,JANK,
NAME_8_37B0,JANK,JANK,
NAME_8_37F0,JANK,JANK,
NAME_8_3830,JANK,JANK,
NAME_8_3870,JANK,JANK,
NAME_8_38B0,JANK,JANK,
NAME_8_38F0,JANK,JANK,
NAME_8_3930,JANK,JANK,
NAME_8_3970,JANK,JANK,
NAME_8_39B0,JANK,JANK,
NAME_8_39F0,JANK,JANK,
NAME_8_3A30,JANK,JANK,
NAME_8_3A70,JANK,JANK,
NAME_8_3AB0,JANK,JANK,
NAME_8_3AF0,JANK,JANK,
NAME_8_3B30,JANK,JANK,
NAME_8_3B70,JANK,JANK,
NAME_8_3BB0,JANK,JANK,
NAME_8_3BF0,JANK,JANK,
NAME_8_3C30,JANK,JANK,
NAME_8_3C70,JANK,JANK,
NAME_8_3CB0,JANK,JANK,
NAME_8_3CF0,JANK,JANK,
NAME_8_3D30,JANK,JANK,
NAME_8_3D70,JANK,JANK,
NAME_8_3DB0,JANK,JANK,
NAME_8_3DF0,JANK,JANK,
NAME_8_3E30,JANK,JANK,
NAME_8_3E70,JANK,JANK,
NAME_8_3EB0,JANK,JANK,
NAME_8_3EF0,JANK,JANK,
NAME_8_3F30,JANK,JANK,
NAME_8_3F70,JANK,JANK,
NAME_8_3FB0,JANK,JANK,
NAME_8_3FF0,,,
