Label,Japanese,English,Notes
NAME_4_30,ハ゛ク゛,Bug,Names in purple are undecided.
NAME_4_70,ク゛ラーハ゛,Grava,
NAME_4_B0,シェル,Shell,
NAME_4_F0,トラヒ゜ー,Trappy,
NAME_4_130,トロン,Tron,
NAME_4_170,シ゛ャク゛,Jag,
NAME_4_1B0,シ゛ャーキ゛ー,Jaggy,
NAME_4_1F0,タ゛ム,Dam,Digital asset management
NAME_4_230,ワイカート゛,Wi-Card,From wireless card
NAME_4_270,ヌル,Null,
NAME_4_2B0,ヌルコート゛,Nullcode,
NAME_4_2F0,シ゛ッティー,Jitty,Either Jitty or GT...
NAME_4_330,シ゛ッタリン,Jitterin,From jitter/jittering
NAME_4_370,ネチス゛ン,Netizen,
NAME_4_3B0,ネチケット,Netiquette,
NAME_4_3F0,ハ゜ーラレ,Paralle,From parallel
NAME_4_430,シーリア,Serial,From serial
NAME_4_470,ハ゛ント゛,Band,
NAME_4_4B0,ハ゛ント゛リン,Bandline,"Bandlin, Bandolin, or Bandline?"
NAME_4_4F0,ハ゛ント゛リャー,Bandolier,Why though?
NAME_4_530,アニム,Anim,
NAME_4_570,エイニス,Einisu,Anys??
NAME_4_5B0,アノニマス,Anonymous,
NAME_4_5F0,オーフ゜ー,OP,
NAME_4_630,オフ゜ティー,Opti,
NAME_4_670,オフ゜ティマ,Optima,
NAME_4_6B0,アルヒ゜シ,RPC,Remote procedure call
NAME_4_6F0,アルチフ,RTF,Rich text document
NAME_4_730,アルエセー,RSA,Data encryption thing
NAME_4_770,エスイー,SE,
NAME_4_7B0,Sーキュール,S-Cure,As a play on secure?
NAME_4_7F0,Sーテ゛ィーカー,SDCard,
NAME_4_830,Sータ゛ット,S-Dat,
NAME_4_870,アクセラ,Accela,From accelerate
NAME_4_8B0,マチヘ゛ンタ゛,Machivendor,"From ""machine vendor"""
NAME_4_8F0,フ゜レ,Pre,
NAME_4_930,ヒ゜ューレーン,Pyuureen,"Very mysterious, maybe go with P-Lane?"
NAME_4_970,ホ゛タン,Button,
NAME_4_9B0,スイッチャー,Switcher,
NAME_4_9F0,カレント,Current,
NAME_4_A30,コンカレント,Concurrent,
NAME_4_A70,ハーハイト,Halfheight,
NAME_4_AB0,フルハイト,Fullheight,
NAME_4_AF0,シンタックス,Syntax,
NAME_4_B30,セマンティック,Semantic,
NAME_4_B70,テ゛ハ゛ク゛,Debug,
NAME_4_BB0,テ゛ハ゛ッキン,Debackin,"Debacking isn't a computer thing, is it?"
NAME_4_BF0,ヒナス,Hnas,Possibly from HNAS?
NAME_4_C30,ヒノニアス,Hnonius,Give up
NAME_4_C70,タ゛ンフ゜,Dump,
NAME_4_CB0,チェクサム,Checksum,
NAME_4_CF0,オシエヌ,OCN,Japanese ISP
NAME_4_D30,オシアス,OCS,
NAME_4_D70,オーテ゛ィアイ,ODI,
NAME_4_DB0,シ゛フ,Gif,
NAME_4_DF0,シ゛ッフ゜,Zip,
NAME_4_E30,シ゛セ゛ット,Gz,I prefer Gz to Gzip
NAME_4_E70,リスタ,Restar,From restart
NAME_4_EB0,リカハ゛,Recover,
NAME_4_EF0,リストアー,Restore,
NAME_4_F30,キ゛コ゛,Gigo,"Garbage in, garbage out"
NAME_4_F70,ミッフ゜ス,Mips,Million instructions per second
NAME_4_FB0,キ゛ッフ゜ス,Gips,???
NAME_4_FF0,フ゜リース,Please,"Probably not, but its design is similar to Cease so I'm okay with it"
NAME_4_1030,フ゜ラスト,Plast,From plastic
NAME_4_1070,アスフ゜ラ,Aspl,"From ""asp language""? (Aspla?)"
NAME_4_10B0,アンスラフ゜ト,Ansrupt,From answer+interrupt? Best I've got.
NAME_4_10F0,インスト,Inst,
NAME_4_1130,サーフェス,Surface,
NAME_4_1170,キロホ゛ー,Kilobaud,From baud (unit)
NAME_4_11B0,キロサイ,Kilocy,From cycle (unit)
NAME_4_11F0,ヒ゜ホ゜ット,Ppot,"Wiki has this as ""pivot"", but that's a stretch. PPOT = press play on tape, apparently from tape-based computers"
