Label,English
NAME_9_30,Daichi
NAME_9_70,Hacker 1
NAME_9_B0,Shady Figure
NAME_9_F0,Kokkuri
NAME_9_130,Banban
NAME_9_170,Yage
NAME_9_1B0,Sakkie
NAME_9_1F0,Katsu
NAME_9_230,Shimishimi
NAME_9_270,Cocco
NAME_9_2B0,Juppe
NAME_9_2F0,Ukkie
NAME_9_330,Tokkuri
NAME_9_370,Twomura
NAME_9_3B0,Yanochi
NAME_9_3F0,Knot
NAME_9_430,Sugisugi
NAME_9_470,Pakkuri
NAME_9_4B0,Kucha
NAME_9_4F0,Kimchi
NAME_9_530,Ikarin
NAME_9_570,Chako
NAME_9_5B0,Toko
NAME_9_5F0,Uenyon
NAME_9_630,Oochi
NAME_9_670,Chikuri
NAME_9_6B0,Nonchi
NAME_9_6F0,Saorin
NAME_9_730,Aachan
NAME_9_770,Kakuei
NAME_9_7B0,KK
NAME_9_7F0,Prison Leader
NAME_9_830,Clerk
NAME_9_870,Manager
NAME_9_8B0,Kamisen
NAME_9_8F0,Subordinate
NAME_9_930,Sobaka
NAME_9_970,Roche
NAME_9_9B0,Benkei
NAME_9_9F0,Velove
NAME_9_A30,Stormy
NAME_9_A70,Aloumia
NAME_9_AB0,Jail Guard
NAME_9_AF0,Garden
NAME_9_B30,Guard
NAME_9_B70,Guard
NAME_9_BB0,Civilian
NAME_9_BF0,Civilian
NAME_9_C30,Weldehyde A
NAME_9_C70,Weldehyde A
NAME_9_CB0,Weldehyde A
NAME_9_CF0,Weldehyde A
NAME_9_D30,Weldehyde A
NAME_9_D70,Weldehyde B
NAME_9_DB0,Weldehyde B
NAME_9_DF0,Weldehyde B
NAME_9_E30,Weldehyde B
NAME_9_E70,Weldehyde B
NAME_9_EB0,Weldehyde C
NAME_9_EF0,Weldehyde C
NAME_9_F30,Weldehyde C
NAME_9_F70,Weldehyde C
NAME_9_FB0,Weldehyde C
NAME_9_FF0,Hacker
NAME_9_1030,Hacker
NAME_9_1070,Shield
NAME_9_10B0,Shield
NAME_9_10F0,Shield
NAME_9_1130,Shield
NAME_9_1170,Shield
NAME_9_11B0,Shield
NAME_9_11F0,Shield
NAME_9_1230,Shield
NAME_9_1270,Shield
NAME_9_12B0,Shield
NAME_9_12F0,FE
NAME_9_1330,FE
NAME_9_1370,FE
NAME_9_13B0,FE
NAME_9_13F0,FE
NAME_9_1430,FE
NAME_9_1470,FE
NAME_9_14B0,FE
NAME_9_14F0,FE
NAME_9_1530,FE
NAME_9_1570,FE
NAME_9_15B0,STING
NAME_9_15F0,RUGER
NAME_9_1630,JANK
NAME_9_1670,STING
NAME_9_16B0,STING
NAME_9_16F0,STING
NAME_9_1730,STING
NAME_9_1770,STING
NAME_9_17B0,STING
NAME_9_17F0,STING
NAME_9_1830,STING
NAME_9_1870,STING
NAME_9_18B0,STING
NAME_9_18F0,STING
NAME_9_1930,STING
NAME_9_1970,FE
NAME_9_19B0,TAHIRO
NAME_9_19F0,TAHIRO
NAME_9_1A30,RUGER
NAME_9_1A70,RUGER
NAME_9_1AB0,RUGER
NAME_9_1AF0,RUGER
NAME_9_1B30,RUGER
NAME_9_1B70,RUGER
NAME_9_1BB0,RUGER
NAME_9_1BF0,RUGER
NAME_9_1C30,RUGER
NAME_9_1C70,RUGER
NAME_9_1CB0,TAHIRO
NAME_9_1CF0,TAHIRO
NAME_9_1D30,TAHIRO
NAME_9_1D70,JANK
NAME_9_1DB0,JANK
NAME_9_1DF0,FE
NAME_9_1E30,FE
NAME_9_1E70,FE
NAME_9_1EB0,FE
NAME_9_1EF0,FE
NAME_9_1F30,FE
NAME_9_1F70,FE
NAME_9_1FB0,FE
NAME_9_1FF0,FE
NAME_9_2030,FE
NAME_9_2070,FE
NAME_9_20B0,STING
NAME_9_20F0,RUGER
NAME_9_2130,RUGER
NAME_9_2170,JANK
NAME_9_21B0,STING
NAME_9_21F0,STING
NAME_9_2230,STING
NAME_9_2270,STING
NAME_9_22B0,STING
NAME_9_22F0,STING
NAME_9_2330,STING
